singer,lyrics,label,score
Barış Manço,Denizlerde okyanuslarda Dalgaların koynunda bir ömür tükettikten sonra Su için boğulmak varsa Çöllerde kızgın kumlarda karlı buzlu dağlarda Bir ömür tükettikten sonra Çukurda kaybolmak varsa Korkunun ecele faydası yok Bu koşuşma niye Abbas yolcu soran yok Yolculuk nereye kim kaldı geriye Taş üstüne taş koya koya Yarattığımız dünyanın Çöktüğünü görmek bir yana bir de altında kalmak var ya Korkunun ecele faydası yok Bu koşuşma niye Abbas yolcu soran yok Yolculuk nereye kim kaldı geriye Sana uzatılan elleri Görmek istemesen de Bir gün o eller üstünde bu dünyadan göçmek var ya,negative,0.933878779411316
Barış Manço,Acıhda bağa vir biraz da oğa vir Çevir kazı yanmasın aman kız uyanmasın Acıhda bağa vir biraz da oğa vir Canı kaymak isteyen cebinde manda taşır Canı kaymak isteyen cebinde manda taşır Bulguru yağı bulan çorbasın kaynatır Ya bulamayan gariban omzunu oynatır Acıhda bağa vir biraz da oğa vir Çevir kazı yanmasın aman kız uyanmasın Acıhda bağa vir biraz da oğa vir Ayağında yok postal başına giyer püskül Ayağında yok postal başına giyer püskül Sonradan görmesi meğersem ne müşkül Ya hiç bir şey bilmemek pilav üstüne keşkül Acıhda bağa vir biraz da oğa vir Ayrana daldır yoğurduna saldır Selam veğdi gödün mü Selamı ağmadın mı aa Çevir kazı yanmasın aman kız uyanmasın Türkünün sonu geldi gari Haydaaa Balcının baltası var oduncunun baltası var Öyle de olur böyle de olur Avcı vurur turnayı biz çalarız zurnayı Öyle de olur böyle de olur,negative,0.9609568119049072
Barış Manço,Adem babayla Havva anadan bu yana  Çok şeyler söylendi sevda üzerine Sayısız türküler yapıldı Leyla ile Mecnun Ferhat ile Şirin Hepside dertli ayrılıklarla biten ızdırap gözyaşı dolu Hani karabasan gibi insanın dünyasını karartan sıkıntılı şeylerdi Bugün Barış kardeşiniz sizlere yeni bir türkü söyleyecek Çünkü Barış gördü ki yeryüzünde en büyük gerçek Adem oğlu kızgın fırın Havva kızı mercimek Kız dediğin nazlı olur erkek ise mangal yürek Er kişinin yanında hatun gerek Kız dediğin nazlı olur erkek ise mangal yürek Er kişinin yanında hatun gerek Adem oğlu kızgın fırın Havva kızı mercimek Kız olmazsa er kişi kolsuz kanatsız demek Davulu dengi dengine vurmak gerek Kız olmazsa er kişi kolsuz kanatsız demek Davulu dengi dengine vurmak gerek Adem oğlu kızgın fırın Havva kızı mercimek Adem oğlu kızgın fırın Havva kızı mercimek Mercimek fırın yan yana fazla söze ne gerek Deli gönül sevdi mi istemez yorgan döşek Adem oğlu kızgın fırın Havva kızı mercimek Kimi zeytin peynir yer kimi baklava börek Kimine saray dar gelir kimine bir oda gerek İki göz bir kulübe yeter Havva kızına Adem oğlu kalender yiyeceği bir lokma ekmek Adem oğlu kızgın fırın Havva kızı mercimek Tanrı böyle buyurmuş dünya böyle kurulmuş Her Adem oğluna bir Havva nasip olmuş Tanrı böyle buyurmuş dünya böyle kurulmuş Her Adem oğluna bir Havva nasip olmuş Yedi iklim dört kuşak inanmazsan gitte bak Nuhun gemisinde bile fırın mercimek dolmuş Adem oğlu kızgın fırın Havva kızı mercimek,negative,0.9239218235015868
Barış Manço,Beni bırakıp gittiğinden beri Terkedilmiş bir çocuk gibi Çaresizim dolaştım gecelerde Sana döndüm yine biliyorum suç bende Affet beni ne olur affet beni Yalvarırım soru sorma Verilecek cevabım yok suç bende Affet affet beni Kendi evimde bir yabancı gibi Çıktım ağır ağır merdivenleri Kapıyı çalmaya cesaretim yok Sana döndüm yine biliyorum suç bende Affet beni ne olur affet beni Yalvarırım soru sorma Verilecek cevabım yok suç bende Affet affet beni Son bir kez seni görmek istedim Geceler boyu bu anı bekledim Sana dönmemi istemiyorsan söyle Söyle gideyim ama önce yine de Affet beni ne olur affet beni Yalvarırım soru sorma Verilecek cevabım yok suç bende Affet affet beni,positive,0.6165591478347778
Barış Manço,Ah tuti mucize guyem ne desem laf değil  Beli yarim beli dost Beli mirim beli dost Beli ömrüm beli dost Ah çerh ile söyleşemem ayinesi saf değil  Beli yarim beli dost Beli mirim beli dost Beli ömrüm beli dost Ah ehli dildir diyemem sinesi saf olmayana  Beli yarim beli dost Beli mirim beli dost Beli ömrüm beli dost,negative,0.6899686455726624
Barış Manço,Tanrı bütün kullara rızkını dağıtırken Kimi sırtüstü yatar kimi boşta gezerken Kul Ahmet erken kalkar haydi ya nasip derdi Kimseler anlamazdı ya nasip ne demekti O mahallede herkes gömlek giyerdi Bizim kul Ahmet bir gün bir ceket diktirdi diktirir ya Mahalleye dert oldu kul Ahmetin ceketi  Kul Ahmet erken kalkar haydi ya nasip derdi Kimseler anlamazdı ya nasip ne demekti Herkes gömlek giyerken Ahmet ceket giyerdi Konu komşuya dert oldu kul Ahmetin ceketi Mahalleli kahvede muhabbet peşindeyken Leylekler lak lak edip peynir gemisi yüklerken Kul Ahmet erken yatar sabaha ya kısmet derdi Kimseler anlamazdı ya kısmet ne demekti Herkes gömlek giye dursun Bizim kul Ahmet ceketini birde astarla kaplatıverdi kaplatır ya Mahalleye dert oldu kul Ahmetin ceketi  Kul Ahmet erken yatar sabaha ya kısmet derdi Kimseler anlamazdı ya kısmet ne demekti Herkes gömlek giyerdi  Konu komşuya dert oldu kul Ahmetin ceketi  Bir gün bir yoksul öldü üzüldü mahalleli Ama bir kefen parası bulamadı mahalleli  Kul Ahmet dedi yalan dünya çıkardı ceketini Örttü garibin üstüne kaldırdı cenazeyi Sonunda herkes anladı ya nasip ya kısmeti Bizim kul Ahmet birdenbire oluverdi Ahmet bey Ceket ise Ahmet beyin ceketi İbreti alem oldu Ahmet beyin ceketi Sonunda herkes anladı ya nasip ya kısmeti İbreti alem oldu Ahmet beyin ceketi Meğerse tüm keramet ceketteymiş be Ahmet Barış a sorar isen sen bu yolda devam et,negative,0.9249855875968932
Barış Manço,Sen gideli sevgilim bahçemde güller açmıyor Geceler bitmek bilmiyor geceler buz gibi sabah olmuyor Şimdi ben sensiz nasıl yaşarım söyle Şimdi ben sensiz neylerim söyle Son birkez görebilsem seni tutsam dokunsam ellerine Yokluğun dayanılmaz oldu hasret kaldım gül yüzüne Şimdi ben sensiz nasıl yaşarım söyle Şimdi ben sensiz neylerim söyle Şimdi ben sensiz nasıl yaşarım söyle Al beni götür gittiğin yere İstersen vur yerden yerlere Ne olur al beni götür gittiğin yere Yeter ki yeter ki terketme Bekledim seni gecelerce yaralı ceylan misali Ardından düştüm çöllere Leylaya koşan Mecnun misali Şimdi ben sensiz neylerim söyle Şimdi ben sensiz nasıl yaşarım söyle AL beni götür gittiğin yere İstersen vur yerden yerlere Ne olur al beni götür gittiğin yere Yeter ki yeter ki terketme,negative,0.9819077849388124
Barış Manço,Ali yazar Veli bozar küp suyunu çeker azar azar Gözümde yaş görseler erkek ağlar mı derler  Gökler ağlıyor dostlar ben ağlamışım çok mu Rahmet yağarken dostlar ben ıslanmışım çok mu Ali yazar Veli bozar küp suyunu çeker azar azar Üzülmüşüm neye yarar keskin sirke küpüne zarar Bir gün dönsem sözümden düşerim dost gözünden Dünya dönüyor dostlar bir sözden dönsem çok mu Devran dönüyor dostlar ben dönmüşüm çok mu Ali yazar Veli bozar küp suyunu çeker azar azar Üzülmüşüm neye yarar keskin sirke küpüne zarar Barış yolun sonunda yürü demek boşuna Hayat duruyor dostlar ben durmuşum çok mu Yaşam bitiyor dostlar ben bitmişim çok mu,negative,0.9699257016181946
Barış Manço,Alla beni pulla beni al koynuna yar Gözüm senden başkasını görmez oldu yar Gönlüm senden bir şey ister nasıl desem yar Alla beni pulla beni al koynuna yar Senin için dağlar deler yol açarım yar Senin için denizleri kuruturum yar Senin için gök kubbeyi yerlere çalarım yar Canım iste canım bile sana kurban yar Dağlar taşlar uçan kuşlar senin olsun yar Deniz derya gökler hep yerinde dursun yar Gönlüm senden bir şey ister nasıl desem yar Alla beni pulla beni al koynuna yar Saçlarına yıldızlardan taç yapayım yar Bir nefeste güneşleri söndüreyim yar Çıra gibi uğrunda ben yanayım yar Canım iste canım bile sana kurban yar Yıldızlar yerinde güzel bırak dursun yar Saçlarımı ellerinle okşa yeter yar Gönlüm senden bir şey ister nasıl desem yar Alla beni pulla beni al koynuna yar Rüzgar olup ince beline sarılayım yar Çimen olup ayağına serileyim yar Sürme olup gözlerine sürüleyim yar Canım iste canım bile sana kurban yar Alla beni pulla beni al koynuna yar Gözüm senden başkasını görmez oldu yar Gönlüm senden bir şey ister nasıl desem yar Alla beni pulla beni al koynuna yar,negative,0.7242088913917542
Barış Manço,Yine sensiz geçen bir gecenin Buz gibi sabahında Bu korkunç yalnızlığımda Seni bekliyorum yanıyor yüreğim Yine gözyaşlarım yağmur gibi Yaşıyorum anılarla Birşeyler kopuyor sanki Taa şuramda yanıyor yüreğim Allahım güç ver bana sığındım sana Bu ne dayanılmaz acı sabır ver bana Yeter artık çektiklerim bitsin bu ceza Ümitsiz haykırıyorum ne olur dön bana Sana yazdığım en son şarkı bu Artık kırıldı kalemim Gökler şahidim olsun ki Seni seviyorum yanıyor yüreğim Sonbahar yaprakları gibi Savruldu ümitlerim Son bir kez duymak istersen Seni seviyorum yanıyor yüreğim Allahım güç ver bana sığındım sana Bu ne dayanılmaz acı sabır ver bana Yeter artık çektiklerim bitsin bu ceza Ümitsiz haykırıyorum ne olur dön bana,positive,0.6398515105247498
